rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,2.98,0.3,92.14
2,Spain,UEFA,3.48,0.53,92.05
3,Germany,UEFA,2.99,0.58,87.92
4,Belgium,UEFA,2.98,0.58,87.82
5,France,UEFA,2.74,0.5,87.0
6,England,UEFA,2.58,0.48,85.79
7,Argentina,CONMEBOL,2.47,0.48,84.68
8,Netherlands,UEFA,2.67,0.63,84.05
9,Switzerland,UEFA,2.63,0.71,82.08
10,Colombia,CONMEBOL,2.24,0.51,81.2
11,Uruguay,CONMEBOL,2.3,0.57,80.94
12,Portugal,UEFA,2.32,0.6,80.53
13,Italy,UEFA,2.13,0.5,80.15
14,Croatia,UEFA,2.46,0.75,79.12
15,Chile,CONMEBOL,2.32,0.72,77.99
16,Sweden,UEFA,2.16,0.69,76.31
17,Serbia,UEFA,2.17,0.75,75.13
18,Mexico,CONCACAF,2.15,0.76,74.58
19,Denmark,UEFA,2.0,0.69,73.6
20,Russia,UEFA,2.0,0.76,72.29
21,Ukraine,UEFA,1.91,0.7,71.96
22,Morocco,CAF,1.8,0.63,71.72
23,Ecuador,CONMEBOL,1.97,0.76,71.6
24,Ghana,CAF,1.77,0.62,71.56
25,Peru,CONMEBOL,1.86,0.71,70.97
26,Poland,UEFA,1.98,0.81,70.81
27,Nigeria,CAF,1.88,0.75,70.38
28,Austria,UEFA,1.86,0.74,70.31
29,Iran,AFC,1.71,0.64,69.94
30,Norway,UEFA,1.89,0.79,69.53
31,USA,CONCACAF,1.87,0.79,69.15
